areas,CortexThalamus,CC before iteration,CC iterated,CC+TC before iteration,CC+TC iterated,CC+TC+CT before iteration,CC+TC+CT iterated
ACAd,C,0.41087963,0.338006216,0.338006216,0.403635491,0.338006216,0.266591451
ACAv,C,0.05,0.099849564,0.099849564,-0.060534827,0.099849564,-0.144679691
Aid,C,0.142307692,0.210118441,0.210118441,0.295019132,0.210118441,0.310859785
AM,T,,,-0.041632653,0.077536269,-0.542857143,-0.342342936
AUDd,C,-0.371428571,-0.244034674,-0.244034674,-0.201818216,-0.244034674,-0.157728623
AUDp,C,0.075,-0.031778987,-0.031778987,0.001932795,-0.031778987,0.005296045
AUDpo,C,-0.229208925,-0.159685089,-0.159685089,-0.15609875,-0.159685089,-0.11816983
AUDv,C,-0.15,-0.126084138,-0.126084138,-0.217478484,-0.126084138,-0.172658418
AV,T,,,0.136996337,0.1885891,0.052790347,0.17500408
CL,T,,,-0.439455782,-0.350323895,-0.691511387,-0.595356999
CM,T,,,-0.069387755,0.096882718,-0.071428571,0.15044305
FRP,C,0.409090909,0.435171088,0.435171088,0.415207445,0.435171088,0.414943353
IAD,T,,,-0.485714286,-0.393317993,-0.833333333,-0.65261083
ILA,C,0.660287081,0.655302439,0.655302439,0.679547442,0.655302439,0.559762127
IMD,T,,,-0.097142857,0.072105816,-0.6,-0.272335321
LD,T,,,-0.2,-0.119708123,-0.086834734,-0.000540523
LGd,T,,,-0.485714286,-0.372814888,-0.625,-0.510691771
LP,T,,,0.11038961,0.121358874,0.137445887,0.217342782
MD,T,,,-0.286746988,-0.106958396,-0.383416017,-0.202710195
MG,T,,,-0.186813187,-0.217616818,-0.32388664,-0.366304845
MOp,C,-0.287356322,-0.207522696,-0.207522696,-0.144487428,-0.207522696,-0.132005395
MOs,C,0.283333333,0.199812996,0.199812996,0.282480819,0.199812996,0.289641234
ORBl,C,0.094545455,0.123410266,0.123410266,0.222416846,0.123410266,0.265915776
ORBm,C,0.230994152,0.352818747,0.352818747,0.363505629,0.352818747,0.371758476
ORBvl,C,-0.020592021,0.119908393,0.119908393,0.036798797,0.119908393,0.265735456
PCN,T,,,-0.485714286,-0.367980883,-0.727272727,-0.640998493
PF,T,,,0.123809524,0.15541266,0.579831933,0.603580337
PIL,T,,,0.121428571,0.062461305,0.625,0.585400045
PL,C,-0.244047619,0.006196015,0.006196015,0.073223647,0.006196015,0.18434985
PO,T,,,0.298901099,0.262486733,0.018218623,-0.003379346
POL,T,,,0.266359447,0.239897888,0.65654649,0.628437313
PT,T,,,-0.318226601,-0.143860486,-0.427586207,-0.129846588
PVT,T,,,-0.425,-0.1231185,-0.223214286,0.202871505
RE,T,,,0.400501253,0.352743083,0.599780702,0.556587623
RSPagl,C,0.391666667,0.3047408,0.3047408,0.229655072,0.3047408,0.245812817
RSPd,C,-0.087301587,0.013787293,0.013787293,0.033217986,0.013787293,-0.010501122
RSPv,C,0.327586207,0.265056347,0.265056347,0.201508687,0.265056347,0.103212318
SMT,T,,,0.254421769,0.144838882,0.182957393,0.056925875
SSp-bfd,C,-0.091666667,-0.089603769,-0.089603769,-0.050772438,-0.089603769,-0.150738021
SSp-ll,C,-0.358851675,-0.324906602,-0.324906602,-0.252691161,-0.324906602,-0.197347498
SSp-m,C,-0.518181818,-0.445033248,-0.445033248,-0.310083227,-0.445033248,-0.328924407
SSp-n,C,-0.688888889,-0.640258032,-0.640258032,-0.386693336,-0.640258032,-0.495901744
SSp-tr,C,-0.1,-0.083824946,-0.083824946,-0.010803277,-0.083824946,0.019554194
SSp-ul,C,-0.636842105,-0.542185035,-0.542185035,-0.482102974,-0.542185035,-0.288211229
SSs,C,-0.28952381,-0.216221571,-0.216221571,-0.194141552,-0.216221571,-0.174659585
VAL,T,,,0.26984127,0.278260364,0.111111111,0.150973334
VISam,C,0.29004329,0.298149075,0.298149075,0.253120875,0.298149075,0.331000954
VISl,C,-0.418181818,-0.228950834,-0.228950834,-0.148241589,-0.228950834,-0.004175996
VISp,C,-0.383522727,-0.242345434,-0.242345434,-0.239412424,-0.242345434,-0.162291795
VISpl,C,0,0.047356089,0.047356089,0.042253295,0.047356089,0.105151636
VISpm,C,0.023041475,0.098508525,0.098508525,0.074086686,0.098508525,0.142186832
VISpor,C,0.227067669,0.21973096,0.21973096,0.301584482,0.21973096,0.415124603
VISrl,C,-0.326704545,-0.205488199,-0.205488199,-0.191368791,-0.205488199,-0.085693336
VM,T,,,0.457959184,0.479648206,0.607792208,0.652176426
VPL,T,,,-0.485714286,-0.620375692,-0.818181818,-0.91790363
VPM,T,,,-0.485714286,-0.578612873,-0.941176471,-1.017931114
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
